"operation","stir"
"Add mulch",0
"Add PAM",0.15
"Aerator, field surface, ground driven",11.7
"Aerator, field surface, ground driven 0 degree offset",7.02
"Aerator, field surface, ground driven 10 degree offset",23.4
"Aerator, field surface, ground driven 5 degree offset",11.7
"Aerator, single drum, lugs, angle 0",11.583
"Aerator, tandem drum, lugs, angle 10",35.1
"Aerator, tandem drum, lugs, angle 5",28.08
"Aerial interseeding",0
"Aerial seeding",0
"Bale combine windrows",0.15
"Bale Corn husk, cob and chaff windrows",0.15
"Bale Corn stalk strips",0.15
"Bale corn stover",0.15
"Bale straw or residue",0.15
"Bed shaper",19.5
"Bed shaper high disturbance",26
"Bed shaper, 12 in",19.5
"Bed shaper, 12 in, low flattening",19.5
"Bed shaper, low flattening, high disturbance",26
"Bedder, hipper, disk hiller",26
"Bedder, hipper, hiller 12 in high",39
"Bedder, hipper, hiller 15 in high",45.5
"Bedder, hipper, hiller 18 in high",52
"Begin growth",0
"Begin new growth",0
"Begin weed growth",0
"BFM applicaton",0.15
"Bulldozer, clearing/cutting",16.25
"Bulldozer, clearing/cutting light",0.82875
"Bulldozer, filling/leveling",5.2
"Burn residue",0
"Burn residue, high intensity",0
"Burn residue, low intensity",0
"Burn residue, mod. high intensity",0
"Burn residue, moderate intensity",0
"Burn sugarcane",0
"Burrowing, heavy, Prairie dog",16.38
"Burrowing, light, Prairie dog",3.51
"Burrowing, moderate, Prairie dog",10.53
"Chisel plow, coulter, st. pts.",52.65
"Chisel plow, coulter, st. pts., cover disks",56.30625
"Chisel plow, coulter, st. pts., cover disks, rlng basket",70.4925
"Chisel plow, coulter, sweeps",52.65
"Chisel plow, coulter, twst. pts.",52.65
"Chisel plow, coulter, twst. pts., cover disks",56.30625
"Chisel plow, disk, st. pts.",65
"Chisel plow, disk, st. pts., cover disks",68.65625
"Chisel plow, disk, twst. pts.",65
"Chisel plow, disk, twst. pts., cover disks",68.65625
"Chisel, 12-16 in. low crown sweep 3 to 4  in. depth",25.025
"Chisel, st. pt. ",45.5
"Chisel, st. pt. 12 in deep",62.4
"Chisel, st. pt. 15 in deep",78
"Chisel, st. pt. 5 in deep",32.5
"Chisel, st. pt. 5 in deep, coil tine har",34.9375
"Chisel, st. pt., coil tine har",47.9375
"Chisel, sweep shovel ",45.5
"Chisel, sweep shovel 5 in. depth",32.5
"Chisel, sweep shovel 5 in. depth, coil tine har",34.9375
"Chisel, sweep shovel, coil tine har",47.9375
"Chisel, twisted shovel ",45.5
"Chisel, twisted shovel, coil tine har",47.9375
"Chisel, winged with furrow diker",74.1
"Chop veg. with machete",0.15
"Continuous disturbance and smoothing",19.175
"Coulter caddy, dbl gang w/ fluted coulters",15.6
"Coulter caddy, w/ fluted coulters",8.58
"Coulter caddy, with smooth coulters",3.4125
"Coulter tiller and spike harrow",18.525
"Coulter tiller, 10 degree angle, coiled tine harrow, rolling basket",20.71875
"Cover crop underseeder",1.625
"Cultipacker, roller",35.5875
"Cultivate, manually",3.9
"Cultivate, manually, low intensity",1.95
"Cultivate, manually, moderate intensity",2.925
"Cultivate, rows manually",3.9
"Cultivator, between beds, add residue",9.75
"Cultivator, field 6-12 in shovels C",31.2
"Cultivator, field 6-12 in sweeps",26
"Cultivator, field 6-12 in sweeps, coil tine har",28.4375
"Cultivator, field w/ spike points",31.2
"Cultivator, field w/ spike points, coil tine har",34.125
"Cultivator, flame",0.15
"Cultivator, hipper, disk hiller on beds",6.5
"Cultivator, off bar w/disk hillers on beds",10.5625
"Cultivator, rotary",6.63
"Cultivator, rotary on beds",6.63
"Cultivator, rotary on beds, Bedder, hipper, disk hiller",27.43
"Cultivator, row - 1st pass ridge till",17.55
"Cultivator, row - 2nd pass ridge till ",19.5
"Cultivator, row 1 in ridge ",14.625
"Cultivator, row 3 in ridge",17.55
"Cultivator, row between beds",10.5625
"Cultivator, row, high residue ",8.125
"default",0.15
"Detasseler, seed corn",0.15
"Disk, inter row strips",16.575
"Disk, offset, heavy",39
"Disk, offset, heavy 12 in depth",78
"Disk, offset, heavy 15 in depth",78
"Disk, offset, heavy, roller, corr packer",40.828125
"Disk, offset, heavy, roller, smooth",40.21875
"Disk, oxen, strip 30 pct disturb",3.12
"Disk, oxen, strip 60 pct disturb",6.24
"Disk, single gang",19.5
"Disk, tandem heavy primary op.",39
"Disk, tandem heavy primary op., roller, smooth",40.21875
"Disk, tandem light finishing ",19.5
"Disk, tandem secondary op.",32.5
"Do all ",53.625
"Do all, on beds ",26
"Dozer track walking",0.975
"Draft Not For Official Use\default",0.15
"Drill or air seeder single disk openers 7-10 in spac.",2.4375
"Drill or air seeder single disk openers, + fert. opnrs 7-10 in spac.",5.6875
"Drill or air seeder tee slot openers 7-10 in spac.",1.95
"Drill or air seeder, combo field cult, dd openers",28.795
"Drill or air seeder, combo single disk-hoe openers, 10 in spac",16.38
"Drill or air seeder, hoe opener in hvy residue",16.9
"Drill or air seeder, hoe opener in hvy residue w/ fert openers",20.15
"Drill or air seeder, hoe/chisel openers 12-15 in spac.",20.8
"Drill or air seeder, hoe/chisel openers 12-15 in spac. w/ fert openers",24.05
"Drill or air seeder, hoe/chisel openers 6-12 in spac.",23.4
"Drill or air seeder, hoe/chisel openers 6-12 in spac. w/fert openers",26.65
"Drill or air seeder, paired, opposing single disk openers 6x9 in spac.",16.64
"Drill or airseeder, dble disk opnr w/ fluted coult 5x10 paired row",12.1875
"Drill or airseeder, double disk",6.3375
"Drill or airseeder, double disk opener, w/ fert openers ",13.8125
"Drill or airseeder, double disk, w/ fluted coulters",7.15
"Drill or airseeder, offset double disk openers",4.0625
"Drill, air seeder, 4 inch stealth openers on 12 in spac",9.75
"Drill, air seeder, 6 inch stealth openers on 12 in spac",10.4
"Drill, air seeder, sweep or band opener",9.75
"Drill, deep furrow  12 to 18 in spacing",23.4
"Drill, deep furrow  7 to 10 in spacing",24.7
"Drill, double disk, 7-8 in packer C",11.05
"Drill, double disk, orchard vineyard cover",39
"Drill, heavy, direct seed, dbl disk opnr ",16.575
"Drill, heavy, direct seed, dbl disk opnr w/row cleaners",17.55
"Drill, range",6.24
"Drill, semi-deep furrow  12 to 18 in spacing",22.1
"Drip tape extractor",2.6
"Drip tape injection shank",2.6
"Drip tape injection shank on beds",2.6
"Drip tape injector bed shaper",26
"Erosion blanket applicaton",0.15
"Fert applic. anhyd knife 12 in",6.5
"Fert applic. anhyd knife 12 in, coil tine har",19.5
"Fert applic. broadcast by hand",0.0121875
"Fert applic. coulter, high press. inject  12 in",1.95
"Fert applic. deep plcmt hvy shnk",13
"Fert applic. shank low disturbance, 12 in",3.25
"Fert applic. shank low disturbance, 12 in, coil tine har",16.25
"Fert applic. shank low disturbance, 15 in spacing",2.6
"Fert applic. side-dress, liquid",0.15
"Fert applic. surface broadcast",0.0609375
"Fert applic., aerial",0.15
"Fert. applic. anhyd knife 15 in spacing",5.2
